L_FAL,,,L_TAM,,,L_FCC,,,L_FM1,,,L_FM2,,,L_FM5,,
0.4047607727050782,0.0936764144897461,0.0607075271606445,0.4850681457519531,0.1110452499389648,0.0920676116943359,0.4561502075195313,0.0431444053649902,0.0513403587341309,0.4850452575683594,0.2387343444824218,0.0215658397674560,0.4313376464843750,0.2947000732421875,0.0224569091796875,0.3894548950195312,0.2142036437988281,0.0217386798858643
0.4061865234375000,0.0943345718383789,0.0623624801635742,0.4870933532714844,0.1109923706054688,0.0906367111206055,0.4568809509277344,0.0433459243774414,0.0521493835449219,0.4860068359375000,0.2379402618408203,0.0223314647674560,0.4304358825683594,0.2940646972656250,0.0240714492797851,0.3902965087890625,0.2140270080566406,0.0240795078277588
0.4066002197265625,0.0946454544067383,0.0626767807006836,0.4881190795898437,0.1108491592407227,0.0904521408081055,0.4575298156738281,0.0432136955261231,0.0522180976867676,0.4862549133300781,0.2376610717773437,0.0221493778228760,0.4300172424316406,0.2934400939941406,0.0257699680328369,0.3907802734375000,0.2137484283447266,0.0249583969116211
0.4068053283691406,0.0945993194580078,0.0626994590759277,0.4887265930175781,0.1104705963134766,0.0905421829223633,0.4578975830078125,0.0429722976684570,0.0520933532714844,0.4860862731933594,0.2373503570556640,0.0220294208526611,0.4298131408691406,0.2924758605957031,0.0293223152160644,0.3912363586425781,0.2132640380859375,0.0256815052032471
0.4067853393554687,0.0943610916137695,0.0627317466735840,0.4888094177246094,0.1100955657958984,0.0907402877807617,0.4580101623535157,0.0432717247009277,0.0525235824584961,0.4857029724121094,0.2369427490234375,0.0222119312286377,0.4298110351562500,0.2916088867187500,0.0318686218261719,0.3916280212402344,0.2128536071777344,0.0265106830596924
0.4064858398437500,0.0941808547973633,0.0626829833984375,0.4884776306152344,0.1098537139892578,0.0911222534179687,0.4574701232910156,0.0429271507263184,0.0525724105834961,0.4854885559082031,0.2367672424316406,0.0225464477539063,0.4296788635253906,0.2910651550292968,0.0333385086059570,0.3917209167480469,0.2126210784912109,0.0267392272949219
0.4052439270019531,0.0938716659545898,0.0629817810058594,0.4871619873046875,0.1100340576171875,0.0912863616943360,0.4568861389160156,0.0428598365783691,0.0525260887145996,0.4857257690429688,0.2367547149658203,0.0231347637176514,0.4289911804199219,0.2911605224609375,0.0328904914855957,0.3910562744140625,0.2126257324218750,0.0259344406127930
0.4050302429199219,0.0938707427978516,0.0626825942993164,0.4869539489746094,0.1101094894409180,0.0913380889892578,0.4567015686035156,0.0429025726318359,0.0525675010681152,0.4856507263183594,0.2367869720458984,0.0232689228057861,0.4288165588378907,0.2914158325195312,0.0321173019409180,0.3908488159179688,0.2127398834228516,0.0256290664672852
0.4049798278808594,0.0938433303833008,0.0627924461364746,0.4886007080078125,0.1111853561401367,0.0923802490234375,0.4567566528320313,0.0428749961853027,0.0525184898376465,0.4855632019042969,0.2368276367187500,0.0233805732727051,0.4287503051757813,0.2913354797363281,0.0323309593200684,0.3908430480957031,0.2126803283691406,0.0256780109405518
0.4049605712890625,0.0939751739501953,0.0627681541442871,0.4869898376464844,0.1101438674926758,0.0913173675537109,0.4567592468261719,0.0429315528869629,0.0525373611450195,0.4855336303710938,0.2368661804199219,0.0234356307983398,0.4287603149414063,0.2914001770019531,0.0323277473449707,0.3908534240722656,0.2126990203857422,0.0256949729919434
