L_FAL,,,L_TAM,,,L_FCC,,,L_FM1,,,L_FM2,,,L_FM5,,
0.4026121520996094,0.1057600555419922,0.0613519592285156,0.4853191528320313,0.1251096115112305,0.0918280868530273,0.4566347351074219,0.0553698158264160,0.0523598403930664,0.4741643066406250,0.2506783599853516,0.0265946731567383,0.4183246154785156,0.3024956359863281,0.0308096084594726,0.3839544067382812,0.2214766540527344,0.0262667465209961
0.4022761230468750,0.1053293685913086,0.0612603416442871,0.4849121398925781,0.1244124603271484,0.0925532455444336,0.4562450561523438,0.0550146217346192,0.0521835670471191,0.4743578186035156,0.2503177032470703,0.0285142498016358,0.4185212097167969,0.3021564941406250,0.0329524536132813,0.3846171569824219,0.2212820739746094,0.0266461181640625
0.4024627990722656,0.1055191268920899,0.0612306594848633,0.4852914428710938,0.1244494628906250,0.0924942245483399,0.4563961486816406,0.0550983619689941,0.0522050170898437,0.4743535156250000,0.2501859893798829,0.0277150516510010,0.4186966247558594,0.3020932312011718,0.0332292900085449,0.3846688842773437,0.2212680816650391,0.0268049907684326
0.4017798767089844,0.1053978042602539,0.0609476127624512,0.4841482238769531,0.1238811187744141,0.0924879531860351,0.4554165344238281,0.0548431053161621,0.0521310691833496,0.4757810974121094,0.2502369079589843,0.0295364933013916,0.4203143005371094,0.3021711425781249,0.0343103294372558,0.3859108886718750,0.2216689300537109,0.0272017974853516
0.3979280700683594,0.1037420883178711,0.0588267555236816,0.4784072875976563,0.1222528762817383,0.0936305389404297,0.4523313598632813,0.0533413925170899,0.0511208724975586,0.4744315185546875,0.2491383972167969,0.0388056259155273,0.4210342712402344,0.3019426879882813,0.0366765327453613,0.3866946411132813,0.2220394592285156,0.0267451782226562
0.3922160949707031,0.1007250366210937,0.0563400382995606,0.4692932739257812,0.1194008712768555,0.0958694534301758,0.4464700622558594,0.0504448814392090,0.0499250335693359,0.4715207519531250,0.2461271667480469,0.0513972892761230,0.4193481140136719,0.3001608886718750,0.0424081802368164,0.3860134277343750,0.2218541564941406,0.0263332748413086
0.3916467895507812,0.0993529205322266,0.0561260643005371,0.4680079956054687,0.1190904693603516,0.0963530578613281,0.4464656982421875,0.0499324569702149,0.0496210441589355,0.4698088073730469,0.2452351226806641,0.0554579124450684,0.4170060119628906,0.2989719848632812,0.0464911346435547,0.3859235229492188,0.2214175720214844,0.0265575065612793
0.3913634338378906,0.0988825149536133,0.0558427047729492,0.4665588378906250,0.1182388992309570,0.0964378280639649,0.4463204956054688,0.0497865180969238,0.0494843444824219,0.4693423156738281,0.2445804748535156,0.0582179832458496,0.4169261779785156,0.2984330749511719,0.0489849090576172,0.3861369323730469,0.2217792663574218,0.0270170555114746
0.3909322814941406,0.0984123458862305,0.0553168487548828,0.4651694335937500,0.1184971466064453,0.0965446166992188,0.4468134765625000,0.0503329505920410,0.0494883308410645,0.4677513427734375,0.2445656433105469,0.0592310676574707,0.4151654357910156,0.2977153930664062,0.0500814781188965,0.3848116149902344,0.2215870819091797,0.0268891506195068
0.3910972290039063,0.0984292526245117,0.0554492759704590,0.4653818359375000,0.1187716217041016,0.0964524612426758,0.4465110473632812,0.0502184143066406,0.0497001228332520,0.4675985412597656,0.2447151031494140,0.0592114334106445,0.4148786621093750,0.2977029113769531,0.0500733642578125,0.3845971374511719,0.2216586761474609,0.0268347492218018
