L_FAL,,,L_TAM,,,L_FCC,,,L_FM1,,,L_FM2,,,L_FM5,,,R_FAL,,,R_TAM,,,R_FCC,,,R_FM1,,,R_FM2,,,R_FM5,,
0.4242598266601563,0.1000169448852539,0.0640469512939453,0.5045719299316407,0.1239955749511719,0.0883799667358399,0.4788986816406250,0.0537167930603028,0.0522268905639648,0.4950862121582031,0.2488942718505859,0.0214750499725342,0.4404284362792969,0.3017777404785156,0.0220638732910156,0.4007951049804688,0.2207285766601562,0.0208171615600586,0.7288513793945313,0.1021457138061524,0.0756391525268555,0.6518569946289062,0.1228415069580078,0.0933451156616211,0.6869653320312500,0.0556331977844238,0.0517429122924805,0.6642979125976562,0.2537181701660156,0.0305440578460693,0.7240537719726563,0.3072624206542969,0.0184364547729492,0.7571893310546876,0.2231101074218750,0.0243673057556152
0.4253103332519531,0.1008694534301758,0.0652103576660156,0.5038146362304687,0.1232041244506836,0.0874266586303711,0.4788308410644531,0.0540081443786621,0.0529528808593750,0.4966020202636719,0.2490486602783203,0.0229003143310547,0.4407637023925781,0.3024797668457032,0.0232414054870605,0.4011388244628906,0.2212269897460938,0.0229084243774414,0.7291117553710937,0.1014707870483399,0.0773890304565430,0.6513310546875000,0.1235615615844727,0.0951135711669922,0.6870058593750000,0.0563645782470703,0.0531133766174317,0.6635446166992187,0.2532844390869141,0.0313969249725342,0.7248953857421875,0.3064488525390625,0.0196199665069580,0.7570497436523438,0.2228091430664063,0.0251627769470215
0.4256852111816407,0.1012703552246094,0.0655556411743164,0.5047424011230469,0.1236346969604492,0.0873357238769531,0.4789869384765625,0.0541515045166016,0.0532173728942871,0.4969416809082031,0.2493103485107422,0.0229579162597656,0.4405932922363281,0.3026862792968750,0.0234189205169678,0.4014567871093750,0.2215997009277343,0.0235790882110596,0.7290643920898437,0.1018433456420898,0.0776756286621094,0.6515905151367187,0.1235690231323242,0.0951500549316406,0.6870063476562500,0.0564813461303711,0.0534357185363770,0.6633469848632813,0.2532984466552735,0.0313659553527832,0.7249354248046875,0.3066730346679687,0.0197630119323730,0.7569359741210938,0.2228958892822266,0.0254033069610596
0.4258530578613282,0.1014900360107422,0.0656868743896484,0.5051893005371094,0.1238650207519531,0.0873103179931641,0.4790556030273437,0.0542005271911621,0.0532555122375488,0.4971044006347656,0.2494142456054688,0.0229424972534180,0.4404916381835938,0.3027709960937500,0.0234479255676269,0.4015585632324219,0.2215526733398437,0.0236648921966553,0.7291832885742188,0.1020761871337891,0.0777896270751953,0.6516464843750001,0.1237360687255859,0.0950650177001953,0.6870671386718750,0.0565018386840820,0.0535195159912109,0.6632901611328125,0.2532458190917969,0.0313224277496338,0.7248202514648437,0.3066985168457032,0.0198080692291260,0.7568791503906250,0.2229315338134766,0.0254917812347412
0.4258493957519531,0.1016557083129883,0.0658023605346680,0.5054730834960938,0.1239404067993164,0.0872865371704102,0.4791435241699219,0.0543751602172852,0.0534584655761719,0.4971872253417969,0.2494530029296875,0.0229466419219971,0.4403636779785156,0.3027164611816406,0.0235984363555908,0.4016021118164063,0.2215176086425781,0.0237186527252197,0.7292850952148437,0.1022812728881836,0.0777751312255860,0.6516735839843750,0.1237873611450195,0.0948799362182618,0.6871425781250000,0.0564708824157715,0.0534614830017090,0.6632078857421875,0.2531314392089844,0.0313635616302490,0.7247095947265625,0.3066087951660157,0.0198605575561523,0.7567958374023438,0.2229069824218750,0.0255539951324463
0.4258803405761719,0.1017343597412109,0.0658345565795899,0.5057408142089844,0.1239978713989258,0.0873184280395508,0.4791107788085938,0.0543352317810059,0.0534534263610840,0.4972796936035156,0.2494536895751953,0.0229290294647217,0.4403704223632813,0.3026901245117187,0.0235903282165527,0.4016726989746094,0.2214841461181641,0.0237442474365234,0.7292575073242188,0.1025129394531250,0.0777276916503906,0.6516572875976563,0.1239255828857422,0.0948568267822266,0.6872150268554688,0.0564618949890137,0.0535194549560547,0.6631893310546875,0.2530815734863281,0.0313273258209229,0.7246281127929688,0.3066061401367188,0.0198699817657471,0.7567257690429687,0.2229251403808594,0.0256026725769043
0.4259620056152344,0.1017801666259766,0.0658937606811523,0.5058510437011718,0.1240015716552734,0.0873479843139648,0.4791502380371094,0.0543089408874512,0.0534474220275879,0.4973326416015625,0.2494921417236328,0.0228980464935303,0.4402520141601562,0.3027899169921875,0.0236004371643066,0.4017442321777344,0.2214323883056640,0.0237680473327637,0.7293076782226563,0.1024339828491211,0.0777059326171875,0.6516206665039063,0.1239661941528320,0.0947713699340820,0.6871633911132813,0.0564219932556152,0.0534442520141602,0.6632067871093750,0.2529811553955078,0.0313420658111572,0.7245073852539062,0.3065355834960938,0.0198866767883301,0.7567420654296875,0.2228463897705078,0.0256116409301758
0.4259626159667969,0.1017574234008789,0.0659281616210937,0.5059254150390625,0.1239828643798828,0.0873261108398437,0.4792039489746094,0.0542668533325195,0.0533930549621582,0.4973411254882812,0.2495016632080078,0.0229305725097656,0.4403520202636719,0.3027466735839843,0.0236154499053955,0.4017387695312500,0.2213944702148438,0.0237649593353271,0.7292514038085938,0.1024304962158203,0.0777667999267578,0.6515932006835937,0.1239491577148438,0.0947541351318359,0.6871481933593750,0.0563805961608887,0.0534513473510742,0.6632218017578125,0.2529868774414062,0.0313260250091553,0.7238843994140625,0.3066008911132812,0.0198742523193359,0.7567598266601563,0.2228231811523438,0.0256027870178223
0.4259364318847657,0.1017672729492188,0.0659168548583984,0.5060182189941407,0.1239730834960937,0.0873585586547852,0.4791991271972657,0.0542514572143555,0.0534036865234375,0.4973515319824219,0.2494934539794922,0.0229968967437744,0.4406239013671875,0.3029368286132813,0.0238672161102295,0.4017390441894531,0.2214033813476562,0.0237799606323242,0.7292127685546875,0.1024036788940430,0.0778010406494141,0.6516043090820313,0.1238900146484375,0.0947651596069336,0.6870642700195313,0.0563720741271973,0.0534111366271973,0.6633041992187501,0.2530734558105469,0.0313185615539551,0.7229774169921875,0.3066825256347656,0.0199304008483887,0.7567656860351563,0.2228323211669922,0.0256010513305664
0.4259573059082031,0.1016787643432617,0.0659033432006836,0.5060044250488281,0.1240040206909180,0.0873647460937500,0.4792378845214844,0.0542104568481445,0.0533626518249512,0.4972415466308594,0.2494921875000000,0.0230771522521973,0.4411761474609375,0.3025631713867187,0.0235051593780518,0.4016582641601563,0.2213598632812500,0.0237811126708984,0.7292135009765626,0.1025003433227539,0.0778977279663086,0.6515921020507812,0.1238602752685547,0.0946616287231445,0.6870957641601563,0.0563955879211426,0.0535277786254883,0.6632769775390626,0.2531209411621094,0.0312701778411865,0.7224923095703125,0.3068735961914063,0.0199083042144775,0.7567283325195313,0.2228668212890625,0.0256206588745117
