L_r0F0,,,L_f0,,,R_r0F0,,,R_f0,,
0.4519571489847131,0.1913889863312946,0.0004410330337924,22.8029725111314079,1.8018192709947807,397.7094329102694701,0.7141808403481683,0.1980177418449544,0.0013897901429498,-20.2072373443546738,-12.6848123728325586,359.1467167794332909
0.4535886668973880,0.1905811987080415,0.0004432459973024,21.7298540700964509,3.0292143435417196,401.1850493630759615,0.7132099381871017,0.2003757020726945,0.0013886427703943,-20.5939849892264419,-11.9722233706576855,353.5347838353460475
0.4535378432360823,0.1906629536927052,0.0004433284403841,22.1952075147995309,4.0336096786221756,404.6819775736165070,0.7129371590678193,0.2026244240066254,0.0013875280296508,-19.7257796919614066,-11.5320589517979304,346.8985973815335342
0.4540889525393460,0.1917138823687707,0.0004463489786179,22.3033469352841500,2.7404071976158102,403.6732952670773216,0.7128540727131478,0.2044378274259128,0.0013866802935153,-20.0685651480518636,-15.1013440943642880,341.8601593335922075
0.4535553739899721,0.1923582108831968,0.0004463826273692,22.2823472526005482,2.4363807217379709,405.4396374074164555,0.7143494819777146,0.2055832368730489,0.0013859869838324,-19.9361755165637007,-13.5586378378238788,343.1773411207798858
0.4537721868259313,0.1928872145679323,0.0004477661910212,22.0891144996212212,1.7875738829108090,406.0345673550913830,0.7131286007738753,0.2057684193786308,0.0013859991860408,-20.2052423349860071,-15.6750210644932331,343.6421979695391542
0.4535719579752994,0.1925663054038722,0.0004467896124116,21.7749470790973838,1.9760829647676246,409.7100937501605245,0.7132185974497804,0.2057361609561436,0.0013859862113242,-20.4298761580940393,-14.3808326475148327,346.1777130960410886
0.4540933677455198,0.1914165542676652,0.0004459059330205,21.5702436869352070,2.1478298499400386,407.4544679668591698,0.7139260913019656,0.2048384676265207,0.0013863969693089,-20.1571908625830467,-14.8411949142578194,343.3536171418963932
0.4537970551034904,0.1902601464957546,0.0004432360981997,21.6067028599019544,2.6710091712503159,407.3313831811454975,0.7130903649859490,0.2026828661587447,0.0013875230611661,-20.1114515125309907,-13.3448723389091839,341.5106805079216201
0.4548433101165873,0.1880241832560093,0.0004415606490432,21.8843997814199689,2.8043874467293848,411.4223628037415779,0.7126634291887568,0.1998479435325204,0.0013889587720694,-20.0231585124292586,-12.5176897454966571,341.9282331004391722
0.4555433250872645,0.1853466408882564,0.0004383787422243,21.9720175656777421,4.1058728172574765,411.0270055344593061,0.7117658485112109,0.1968311130144274,0.0013905157677606,-19.4012156739750452,-11.1504347044681040,339.8685530582040428
0.4558020336496091,0.1842908959714344,0.0004371055518493,21.7668631320470460,4.5588773512355854,405.8044386682358891,0.7122195144333737,0.1955096775352612,0.0013911467966095,-19.5126310848607432,-10.4853478282027321,340.4339567470956354
0.4558666751346476,0.1836257253712345,0.0004360809190911,21.6980896949087843,4.2636892608815362,406.6651705206347742,0.7118136512109542,0.1941999387114766,0.0013918296752565,-19.8512448394071441,-9.5802748861497573,343.7692137894494522
0.4553857637737055,0.1824251602795927,0.0004330335630156,21.5035013430927435,3.4747424832074683,408.7402067099730516,0.7120104520095579,0.1940460520208372,0.0013918839758250,-19.6701185036420689,-9.5684807610214886,347.4041362207851762
0.4560419416481641,0.1821586575071768,0.0004339225812913,20.8842644266069293,3.0963404184856946,407.0342372878618562,0.7114594221903409,0.1941473272835842,0.0013919027210766,-19.7501978186739784,-11.9065977314740632,351.3255983506381313
0.4558073004237206,0.1840700081430679,0.0004367958264544,20.8072759724728833,1.4368481009102212,402.9419900886235837,0.7117612307747675,0.1946639027717551,0.0013915991717918,-19.9916630993414728,-10.6779533235429653,355.9555378242875463
